#event 0
#theta, phi
1.42604621777 3.41669917147
#string, om, x, y, z, time, charge
59 15 505.269989014 257.880004883 267.940002441 12175.0 1.125
67 2 429.760009766 351.019989014 489.119995117 11714.0 1.47500002384
67 3 429.760009766 351.019989014 472.100006104 11219.0 2.20000004768
67 4 429.760009766 351.019989014 455.079986572 11361.0 1.90000003576
67 5 429.760009766 351.019989014 438.059997559 11013.0 3.47500002384
#event 1
#theta, phi
2.65107921529 2.52123955999
#string, om, x, y, z, time, charge
1 1 -256.140014648 -521.08001709 496.029998779 10314.0 8.00000008941
1 2 -256.140014648 -521.08001709 479.010009766 10292.0 37.3749996424
1 3 -256.140014648 -521.08001709 461.989990234 10252.0 28.2749998271
1 4 -256.140014648 -521.08001709 444.970001221 10272.0 25.0749998689
1 5 -256.140014648 -521.08001709 427.950012207 10228.0 13.0000000596
1 6 -256.140014648 -521.08001709 410.929992676 10270.0 12.7249999791
1 7 -256.140014648 -521.08001709 393.910003662 10373.0 1.84999996424
1 8 -256.140014648 -521.08001709 376.880004883 10597.0 2.72499990463
1 9 -256.140014648 -521.08001709 359.859985352 10980.0 1.67499995232
1 10 -256.140014648 -521.08001709 342.839996338 10429.0 4.94999992847
1 11 -256.140014648 -521.08001709 325.820007324 10589.0 0.59999999404
1 12 -256.140014648 -521.08001709 308.799987793 11361.0 1.02499997616
2 1 -132.800003052 -501.450012207 500.070007324 10511.0 8.14999991655
2 2 -132.800003052 -501.450012207 483.049987793 10409.0 3.54999995232
2 3 -132.800003052 -501.450012207 466.029998779 10510.0 7.90000003576
2 4 -132.800003052 -501.450012207 449.010009766 10463.0 9.52500008047
2 5 -132.800003052 -501.450012207 431.989990234 11459.0 1.27499997616
2 6 -132.800003052 -501.450012207 414.970001221 10501.0 2.69999992847
3 2 -9.13000011444 -481.739990234 482.209991455 11260.0 1.125
7 1 -334.799987793 -424.5 500.589996338 10343.0 17.0499999076
7 2 -334.799987793 -424.5 483.570007324 10286.0 26.4499999285
7 3 -334.799987793 -424.5 466.549987793 10215.0 40.8500003368
7 4 -334.799987793 -424.5 449.529998779 10243.0 29.7749995589
7 5 -334.799987793 -424.5 432.510009766 10234.0 10.5499999374
7 6 -334.799987793 -424.5 415.489990234 10224.0 6.72499990463
7 7 -334.799987793 -424.5 398.470001221 10335.0 6.45000012219
7 8 -334.799987793 -424.5 381.450012207 10462.0 3.375
7 9 -334.799987793 -424.5 364.429992676 10489.0 2.77500003576
7 10 -334.799987793 -424.5 347.410003662 10557.0 3.77499997616
7 11 -334.799987793 -424.5 330.390014648 12633.0 0.324999988079
7 12 -334.799987793 -424.5 313.369995117 10573.0 2.0
8 1 -211.350006104 -404.480010986 498.630004883 10096.0 113.700000226
8 2 -211.350006104 -404.480010986 481.609985352 9974.0 249.624998897
8 3 -211.350006104 -404.480010986 464.589996338 9920.0 520.249998182
8 4 -211.350006104 -404.480010986 447.559997559 9888.0 730.675005287
8 5 -211.350006104 -404.480010986 430.540008545 9881.0 827.399999171
8 6 -211.350006104 -404.480010986 413.519989014 9912.0 541.849998385
8 7 -211.350006104 -404.480010986 396.5 9968.0 240.524999797
8 8 -211.350006104 -404.480010986 379.480010986 10049.0 80.6999999285
8 9 -211.350006104 -404.480010986 362.459991455 10174.0 24.1500000656
8 10 -211.350006104 -404.480010986 345.440002441 10383.0 7.14999997616
8 11 -211.350006104 -404.480010986 328.420013428 10333.0 3.95000004768
8 12 -211.350006104 -404.480010986 311.399993896 10557.0 1.5
8 14 -211.350006104 -404.480010986 277.359985352 12150.0 0.975000023842
9 3 -88.0500030518 -384.299987793 465.970001221 10906.0 0.725000023842
9 4 -88.0500030518 -384.299987793 448.950012207 10808.0 5.14999997616
9 5 -88.0500030518 -384.299987793 431.929992676 11222.0 2.05000001192
14 1 -413.459991455 -327.269989014 499.589996338 11110.0 1.125
14 2 -413.459991455 -327.269989014 482.570007324 11136.0 1.20000001788
15 1 -290.660003662 -307.380004883 504.019989014 10733.0 1.6249999702
15 2 -290.660003662 -307.380004883 487.0 10543.0 8.60000002384
15 3 -290.660003662 -307.380004883 469.980010986 10471.0 13.4000000656
15 4 -290.660003662 -307.380004883 452.959991455 10586.0 7.37500008941
15 5 -290.660003662 -307.380004883 435.940002441 10596.0 5.15000006557
15 6 -290.660003662 -307.380004883 418.920013428 11043.0 0.774999976158
15 8 -290.660003662 -307.380004883 384.880004883 11096.0 1.5
15 9 -290.660003662 -307.380004883 367.859985352 10867.0 2.67499995232
15 10 -290.660003662 -307.380004883 350.839996338 10783.0 2.39999997616
15 14 -290.660003662 -307.380004883 282.75 12178.0 1.125
16 2 -166.399993896 -287.790008545 480.510009766 11907.0 0.875
16 3 -166.399993896 -287.790008545 463.489990234 11283.0 0.675000011921
16 4 -166.399993896 -287.790008545 446.470001221 11546.0 1.32500004768
23 3 -368.929992676 -210.229995728 466.489990234 11835.0 0.824999988079
#event 2
#theta, phi
2.55431502595 0.328278506855
#string, om, x, y, z, time, charge
49 45 472.049987793 127.900001526 -244.63999939 11228.0 1.375
50 38 576.369995117 170.919998169 -135.720001221 11058.0 1.52499997616
50 41 576.369995117 170.919998169 -186.789993286 11676.0 1.27499997616
50 44 576.369995117 170.919998169 -237.850006104 11299.0 0.675000011921
50 48 576.369995117 170.919998169 -305.929992676 12237.0 0.675000011921
50 50 576.369995117 170.919998169 -339.970001221 11903.0 1.125
50 51 576.369995117 170.919998169 -356.989990234 10904.0 0.625
58 39 382.350006104 238.899993896 -148.240005493 11404.0 0.524999976158
58 40 382.350006104 238.899993896 -165.259994507 11174.0 0.524999976158
58 47 382.350006104 238.899993896 -284.410003662 12713.0 0.375
58 50 382.350006104 238.899993896 -335.470001221 12391.0 0.824999988079
59 39 505.269989014 257.880004883 -140.550003052 10706.0 2.44999998808
59 40 505.269989014 257.880004883 -157.570007324 10254.0 1.69999998808
59 41 505.269989014 257.880004883 -174.600006104 11185.0 0.375
59 42 505.269989014 257.880004883 -191.619995117 10499.0 5.47500002384
59 43 505.269989014 257.880004883 -208.63999939 11581.0 0.324999988079
59 44 505.269989014 257.880004883 -225.660003662 11117.0 1.75
59 48 505.269989014 257.880004883 -293.739990234 10605.0 7.92500007153
